id,name,year,season,status,type,comment,url,downloaded
270,Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,2016,other,completed,Movie,,https://myanimelist.net/anime/34100/Fate_kaleid_liner_Prisma☆Illya_Movie__Sekka_no_Chikai,1
271,"Ima, Soko ni Iru Boku",2016,other,completed,TV,,,1
272,Kono Subarashii Sekai ni Shukufuku wo! 2,2016,other,completed,TV,,https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2,1
273,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,2016,other,completed,Movie,,https://myanimelist.net/anime/38040/Kono_Subarashii_Sekai_ni_Shukufuku_wo_Movie__Kurenai_Densetsu,1
274,Koutetsujou no Kabaneri Movie 3: Unato Kessen,2016,other,completed,Movie,,https://myanimelist.net/anime/34544/Koutetsujou_no_Kabaneri_Movie_3__Unato_Kessen,1
275,Mahou Shoujo Lyrical Nanoha,2016,other,completed,TV,,,1
276,Mahou Shoujo Nante Mou Ii desu kara. Second Season,2016,other,completed,Short TV,,https://myanimelist.net/anime/33795/Mahou_Shoujo_Nante_Mou_Ii_desu_kara_Second_Season,1
277,Mai-Otome 0: S.ifr,2016,other,completed,OVA,,https://myanimelist.net/anime/3268/Mai-Otome_0__Sifr,1
278,Mai-Otome Special: Otome no Inori,2016,other,completed,Special,,https://myanimelist.net/anime/8518/Mai-Otome_Special__Otome_no_Inori,1
279,Mob Psycho 100 II,2016,other,completed,TV,,https://myanimelist.net/anime/37510/Mob_Psycho_100_II,1
280,Mob Psycho 100 III,2016,other,completed,TV,,https://myanimelist.net/anime/50172/Mob_Psycho_100_III,1
281,Mushoku Tensei II: Isekai Ittara Honki Dasu,2016,other,completed,TV,,https://myanimelist.net/anime/51179/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu,1
282,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,2016,other,completed,TV,,https://myanimelist.net/anime/55888/Mushoku_Tensei_II__Isekai_Ittara_Honki_Dasu_Part_2,1
283,Mushoku Tensei: Isekai Ittara Honki Dasu,2016,other,completed,TV,,,1
284,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,2016,other,completed,TV,,,1
285,New Game!!,2016,other,completed,TV,,https://myanimelist.net/anime/34914/New_Game,1
286,Noein,2016,other,completed,TV,,,1
287,Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,2016,other,completed,Movie,,https://myanimelist.net/anime/38414/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_-_Hyouketsu_no_Kizuna,1
288,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,2016,other,completed,TV,,https://myanimelist.net/anime/39587/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season,1
289,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,2016,other,completed,TV,,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,1
290,Hana to Alice: Satsujin Jiken,2015,winter,completed,Movie,test,https://myanimelist.net/anime/27969/Hana_to_Alice__Satsujin_Jiken,1
291,Military!,2015,winter,completed,Short TV,,https://myanimelist.net/anime/26085/Military,1
292,Psycho-Pass Movie,2015,winter,completed,Movie,,https://myanimelist.net/anime/21339/Psycho-Pass_Movie,1
293,Tokyo Ghoul √A,2015,winter,completed,TV,,https://myanimelist.net/anime/27899/Tokyo_Ghoul_%E2%88%9AA,1
294,Arslan Senki (TV),2015,spring,completed,TV,,https://myanimelist.net/anime/28249/Arslan_Senki_TV,1
295,Danna ga Nani wo Itteiru ka Wakaranai Ken 2 Sure-me,2015,spring,completed,Short TV,,https://myanimelist.net/anime/29067/Danna_ga_Nani_wo_Itteiru_ka_Wakaranai_Ken_2_Sure-me,1
296,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,2015,spring,completed,TV,,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka,1
297,Hibike! Euphonium,2015,spring,completed,TV,,https://myanimelist.net/anime/27989/Hibike_Euphonium,1
298,Love Live! The School Idol Movie,2015,spring,completed,Movie,,https://myanimelist.net/anime/24997/Love_Live_The_School_Idol_Movie,1
299,Mushishi Zoku Shou: Suzu no Shizuku,2015,spring,completed,Movie,,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku,1
300,Nisekoi:,2015,spring,completed,TV,,https://myanimelist.net/anime/27787/Nisekoi_,1
301,Plastic Memories,2015,spring,completed,TV,,https://myanimelist.net/anime/27775/Plastic_Memories,1
302,Urawa no Usagi-chan,2015,spring,completed,Short TV,,https://myanimelist.net/anime/27927/Urawa_no_Usagi-chan,1
303,Bakemono no Ko,2015,summer,completed,Movie,,https://myanimelist.net/anime/28805/Bakemono_no_Ko,1
304,Danchigai,2015,summer,completed,Short TV,,https://myanimelist.net/anime/30127/Danchigai,1
305,Fate/kaleid liner Prisma☆Illya 2wei Herz!,2015,summer,completed,TV,,https://myanimelist.net/anime/27525/Fate_kaleid_liner_Prisma%E2%98%86Illya_2wei_Herz,1
306,Gakkougurashi!,2015,summer,completed,TV,,https://myanimelist.net/anime/24765/Gakkougurashi,1
307,Himouto! Umaru-chan,2015,summer,completed,Short TV,,https://myanimelist.net/anime/28825/Himouto_Umaru-chan,1
